"game_id","team_id","HoA","won","settled_in","head_coach","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","faceOffWinPercentage","giveaways","takeaways"
"2013020951","2","away",FALSE,"REG","Jack Capuano",3,26,20,8,4,0,51.7,2,5
"2013020535","2","away",TRUE,"REG","Jack Capuano",5,20,26,16,4,1,56.6,5,7
"2013020071","2","away",FALSE,"REG","Jack Capuano",2,16,16,4,3,0,40.4,9,11
"2013020176","2","home",FALSE,"REG","Jack Capuano",2,24,15,29,3,0,40.4,18,10
"2013020592","2","away",TRUE,"REG","Jack Capuano",5,31,15,13,3,0,33.9,2,4
"2012020481","2","away",TRUE,"REG","Jack Capuano",3,31,18,6,2,0,51.9,11,14
"2013020061","2","away",FALSE,"REG","Jack Capuano",2,19,29,10,2,0,46.2,8,6
"2012020006","2","home",FALSE,"REG","Jack Capuano",1,19,19,4,4,1,58.8,9,4
"2013020382","2","home",FALSE,"REG","Jack Capuano",0,29,34,4,1,0,44.8,11,11
"2013020713","2","away",TRUE,"SO","Jack Capuano",1,30,21,11,4,1,50,4,6
"2012020596","2","away",TRUE,"REG","Jack Capuano",2,36,14,2,1,0,46.3,4,9
"2013020729","2","away",FALSE,"REG","Jack Capuano",4,29,36,11,3,0,32.8,5,2
"2012020564","2","home",TRUE,"REG","Jack Capuano",4,28,20,6,1,0,51.2,13,17
"2012020191","2","away",TRUE,"SO","Jack Capuano",3,31,33,13,1,0,42.1,10,3
"2013021172","2","away",FALSE,"REG","Jack Capuano",0,31,48,33,2,0,35.1,7,6
"2013021140","2","away",TRUE,"REG","Jack Capuano",2,27,24,10,4,2,35.8,9,8
"2013020648","2","away",TRUE,"REG","Jack Capuano",5,25,28,10,1,1,38.7,6,13
"2012020545","2","away",FALSE,"SO","Jack Capuano",1,36,14,6,2,0,44,6,8
"2012020661","2","away",TRUE,"SO","Jack Capuano",4,33,14,10,5,0,54.7,11,7
"2013020204","2","home",TRUE,"REG","Jack Capuano",3,34,27,8,3,0,40.7,11,18
"2014020838","2","home",FALSE,"REG","Jack Capuano",5,43,43,6,3,0,56.5,23,15
"2014020711","2","home",FALSE,"REG","Jack Capuano",2,45,48,2,2,0,46.4,20,12
"2014020505","2","home",FALSE,"REG","Jack Capuano",1,38,24,8,2,0,50.9,14,6
"2014020146","2","away",FALSE,"REG","Jack Capuano",0,40,34,6,6,0,46.2,4,9
"2014020363","2","home",TRUE,"OT","Jack Capuano",3,28,22,2,2,0,52.9,11,7
"2014020292","2","away",TRUE,"SO","Jack Capuano",4,35,27,7,1,0,50.9,1,5
"2014020299","2","home",TRUE,"REG","Jack Capuano",4,35,24,19,2,1,61,11,11
"2014020582","2","away",FALSE,"REG","Jack Capuano",2,33,34,4,4,2,50.8,11,7
"2014020925","2","home",FALSE,"REG","Jack Capuano",3,24,33,22,1,0,44.8,15,14
"2014020961","2","away",TRUE,"REG","Jack Capuano",4,26,17,2,2,1,43.4,6,10
"2014020654","2","home",TRUE,"REG","Jack Capuano",6,35,44,6,3,1,50,17,12
"2014020618","2","away",TRUE,"REG","Jack Capuano",5,40,27,8,6,0,49,1,4
"2014020728","2","away",FALSE,"REG","Jack Capuano",1,23,36,10,4,1,61.1,7,1
"2014020514","2","away",FALSE,"SO","Jack Capuano",3,36,18,10,2,0,35.9,5,3
"2014021090","2","home",FALSE,"SO","Jack Capuano",1,38,28,2,1,0,63.2,21,15
"2014020608","2","away",TRUE,"OT","Jack Capuano",3,31,38,9,4,0,59.7,4,4
"2014020697","2","home",TRUE,"REG","Jack Capuano",4,38,46,18,3,1,61.3,26,11
"2014020415","2","away",FALSE,"REG","Jack Capuano",4,19,14,15,5,1,31.2,4,6
"2014020246","2","away",TRUE,"SO","Jack Capuano",3,34,32,12,3,0,40,2,3
"2014020050","2","home",TRUE,"SO","Jack Capuano",3,45,32,2,2,1,47.9,9,9
"2014021191","2","away",FALSE,"REG","Jack Capuano",4,40,24,11,5,1,51.5,2,1
"2014020152","2","away",FALSE,"REG","Jack Capuano",1,20,34,12,3,0,47.7,13,2
"2014020809","2","home",TRUE,"REG","Jack Capuano",3,41,47,6,2,0,52.5,14,14
"2014020918","2","home",TRUE,"REG","Jack Capuano",2,39,32,6,3,1,52,16,11
"2014020017","2","away",TRUE,"REG","Jack Capuano",5,26,32,10,3,2,44.1,2,5
"2014020787","2","away",TRUE,"REG","Jack Capuano",3,31,24,8,2,1,56.2,2,1
"2014020110","2","home",TRUE,"REG","Jack Capuano",7,29,39,10,2,0,56.2,13,17
"2014020632","2","away",TRUE,"REG","Jack Capuano",3,44,28,4,1,0,54.2,10,5
"2014021117","2","home",FALSE,"REG","Jack Capuano",2,31,38,0,4,0,31.8,8,16
"2014020986","2","away",TRUE,"OT","Jack Capuano",4,43,41,8,5,1,44.3,7,8
"2014020269","2","home",TRUE,"REG","Jack Capuano",5,36,23,8,6,1,59.6,14,7
"2014021153","2","away",FALSE,"SO","Jack Capuano",3,28,18,4,2,0,48.4,1,3
"2014020948","2","away",FALSE,"OT","Jack Capuano",2,37,32,23,3,0,43.5,8,3
"2015020390","2","away",FALSE,"OT","Jack Capuano",2,31,23,6,1,1,38.7,6,4
"2015020869","2","away",TRUE,"REG","Jack Capuano",1,24,24,2,4,0,46.2,2,9
"2015020454","2","home",FALSE,"REG","Jack Capuano",1,34,23,8,4,0,47.6,12,5
"2017020582","2","away",FALSE,"REG","Doug Weight",2,44,18,10,4,0,48.5,12,2
"2015020071","2","home",TRUE,"REG","Jack Capuano",6,34,30,4,3,1,56.9,7,10
"2017020013","2","away",FALSE,"REG","Doug Weight",0,29,25,11,1,0,50,7,9
"2015021001","2","away",FALSE,"SO","Jack Capuano",3,27,26,10,1,0,51.5,7,11
"2017020531","2","home",FALSE,"OT","Doug Weight",4,26,38,6,3,2,46.1,14,5
"2015020706","2","away",TRUE,"REG","Jack Capuano",5,34,26,9,4,1,51.7,11,4
"2016020886","2","away",TRUE,"REG","Doug Weight",3,22,31,10,3,1,46.9,8,1
"2016020030","2","home",TRUE,"OT","Jack Capuano",3,30,18,10,4,0,38.7,6,8
"2016021111","2","home",FALSE,"REG","Doug Weight",1,19,29,6,6,0,48.9,6,1
"2015020050","2","home",TRUE,"REG","Jack Capuano",4,28,43,6,2,0,50,14,14
"2015020408","2","away",TRUE,"SO","Jack Capuano",3,26,34,6,1,1,50,10,5
"2016020962","2","away",FALSE,"REG","Doug Weight",2,35,11,6,3,0,38.3,6,7
"2017021041","2","away",FALSE,"SO","Doug Weight",1,31,34,9,1,0,61.2,12,11
"2016020078","2","home",TRUE,"REG","Jack Capuano",6,33,31,22,1,0,51.8,9,5
"2017020718","2","away",TRUE,"REG","Doug Weight",7,46,29,17,4,2,43.2,7,3
"2017021200","2","home",FALSE,"REG","Doug Weight",4,33,14,6,3,2,45.5,18,16
"2013020544","2","home",FALSE,"REG","Jack Capuano",3,21,17,31,1,0,43.5,9,5
"2013020264","2","home",TRUE,"REG","Jack Capuano",3,33,15,9,5,1,36.7,11,11
"2013020218","2","away",FALSE,"REG","Jack Capuano",2,36,21,44,5,0,51.4,3,4
"2013021066","2","home",TRUE,"REG","Jack Capuano",2,32,27,29,4,1,43.9,6,5
"2013020748","2","away",TRUE,"REG","Jack Capuano",5,37,15,10,5,1,52.9,7,4
"2012020143","2","away",FALSE,"REG","Jack Capuano",1,28,23,4,5,0,47.9,2,5
"2013020930","2","away",TRUE,"OT","Jack Capuano",3,27,30,22,1,0,45.1,12,6
